2541	21418.6	0
2542	21418.6	0
2543	21418.6	0.00143337
2544	21418.6	0.190013
2545	32064.1	2.41402
2546	20462.4	12.4679
2547	20462.4	36.7626
2548	20462.4	87.103
2549	20462.4	159.507
2550	14215.3	277.824
2551	17466.4	424.938
2552	10326.9	645.913
2553	10326.9	931.817
2554	10326.9	1285.5
2555	16191.5	1663.28
2556	19952.5	2089.45
2557	11920.5	2570.16
2558	14760.2	3068.08
2559	14760.2	3596.45
2560	19633.7	4094.31
2561	20207.5	4607.94
2562	31977	5117.78
2563	14101.3	5607.2
2564	14101.3	6071.61
2565	8541.97	6523.54
2566	1976.15	6989.3
2567	18146.9	7430.53
2568	13949	7868.84
2569	14192.4	8354.59
2570	1529.93	8813.66
2571	8669.42	9275.21
2572	22058.6	9729.53
2573	36443.4	10160.6
2574	32565.5	10555.8
2575	39714.6	10908.4
2576	117550	11253.9
2577	337302	11511.5
2578	759123	11754.3
2579	1.24776e+06	11974.3
2580	1.66823e+06	12211.3
2581	1.88522e+06	12553.8
2582	1.91386e+06	13219.3
2583	1.83105e+06	14688.4
2584	1.67251e+06	17779.9
2585	1.45478e+06	23871.7
2586	1.2163e+06	34613.9
2587	985154	51768.4
2588	798777	76971.4
2589	639357	111478
2590	525220	155961
2591	421437	210482
2592	354574	274337
2593	351926	346084
2594	468287	423617
2595	732251	504324
2596	1.04966e+06	585294
2597	1.30587e+06	663410
2598	1.43201e+06	735802
2599	1.44648e+06	800096
2600	1.38788e+06	854479
2601	1.26641e+06	898041
2602	1.09444e+06	930737
2603	908901	953354
2604	761044	967361
2605	624944	974527
2606	530362	976790
2607	414659	976027
2608	341480	973863
2609	282795	971475
2610	266503	969573
2611	243534	968388
2612	215650	967671
2613	183628	966803
2614	160324	964824
2615	156993	960757
2616	168862	953654
2617	157518	942721
2618	146496	927308
2619	122108	907026
2620	118606	881721
2621	119487	851543
2622	108540	816848
2623	132650	778166
2624	83501.3	736250
2625	82788	691851
2626	84163.8	645809
2627	130114	598981
2628	109451	552150
2629	62118	506067
2630	59206.6	461386
2631	62050.9	418637
2632	96423.7	378289
2633	93197.2	340629
2634	81665	305949
2635	64354.3	274318
2636	66181.5	245791
2637	85163.5	220253
2638	89541.1	197631
2639	75367	177817
2640	73489.6	160566
2641	100350	145742
2642	247901	133012
2643	513115	122248
2644	856653	113216
2645	1.25456e+06	105660
2646	1.57657e+06	99420.2
2647	1.78074e+06	94431
2648	1.8168e+06	90821.7
2649	1.7457e+06	88904.5
2650	1.58131e+06	89476.9
2651	1.38771e+06	93713.3
2652	1.16758e+06	102970
2653	988067	118756
2654	783228	142464
2655	649555	175076
2656	528848	217086
2657	488391	268388
2658	497321	328262
2659	709437	395183
2660	1.24151e+06	467198
2661	1.88714e+06	541831
2662	2.44685e+06	616316
2663	2.72048e+06	687984
2664	2.72871e+06	754449
2665	2.60075e+06	813922
2666	2.37607e+06	865702
2667	2.09356e+06	910139
2668	1.77157e+06	948666
2669	1.48325e+06	983450
2670	1.2409e+06	1.01686e+06
2671	1.0621e+06	1.05128e+06
2672	919766	1.08865e+06
2673	777825	1.13045e+06
2674	649866	1.17724e+06
2675	550343	1.22868e+06
2676	501374	1.28369e+06
2677	452622	1.34041e+06
2678	390191	1.39652e+06
2679	330499	1.44914e+06
2680	278708	1.49558e+06
2681	283539	1.53346e+06
2682	261088	1.56059e+06
2683	254176	1.57549e+06
2684	211352	1.57713e+06
2685	197368	1.5651e+06
2686	203065	1.53957e+06
2687	207427	1.5012e+06
2688	281346	1.45113e+06
2689	445804	1.39081e+06
2690	837940	1.32197e+06
2691	1.31926e+06	1.24643e+06
2692	1.73721e+06	1.16616e+06
2693	1.94573e+06	1.08305e+06
2694	1.94468e+06	999120
2695	1.85676e+06	916344
2696	1.71071e+06	836935
2697	1.51529e+06	763414
2698	1.28969e+06	698263
2699	1.05704e+06	643999
2700	870148	602648
2701	707266	575726
2702	594045	564042
2703	478735	567652
2704	388655	585777
2705	331959	616755
2706	295035	658326
2707	272389	707576
2708	244008	761269
2709	214073	815986
2710	213223	868395
2711	229300	915649
2712	252416	955267
2713	252546	985389
2714	233551	1.00473e+06
2715	201201	1.01261e+06
2716	200268	1.00901e+06
2717	188001	994381
2718	173783	969637
2719	136815	936045
2720	111540	895093
2721	109129	848361
2722	110737	797469
2723	85166.5	744014
2724	69205.5	689392
2725	55955.8	634895
2726	65908	581576
2727	68923.9	530264
2728	77821.5	481616
2729	65737.5	436062
2730	64307.2	393843
2731	60390.6	355075
2732	63492.5	319728
2733	55972.8	287740
2734	44700.8	258971
2735	40912.7	233200
2736	38125.2	210234
2737	37955.1	189864
2738	36842	171816
2739	41913.3	155889
2740	31740.9	141831
2741	24789.4	129413
2742	28617.8	118479
2743	40873.4	108806
2744	38277.6	100228
