65,41638800,0000,40810416,0000,43252276,0000,true,false,false
66,40258700,0000,41467032,0000,43169288,0000,true,false,false
98,45856100,0000,49314308,0000,47469876,0000,true,false,false
67,40067100,0000,41835636,0000,42693856,0000,true,false,false
99,44236700,0000,48148328,0000,47339584,0000,true,false,false
100,42661700,0000,47240008,0000,46763680,0000,true,false,false
196,8303030,0000,5590977,5000,8469900,0000,true,false,false
166,14471200,0000,11445422,0000,15312158,0000,true,false,false
141,19044000,0000,26137950,0000,20079590,0000,true,false,false
78,63571300,0000,44951544,0000,65604980,0000,true,false,false
54,41905000,0000,10109902,0000,42963372,0000,true,false,false
55,39849400,0000,13004835,0000,43596560,0000,true,false,false
56,39112100,0000,16290515,0000,43285616,0000,true,false,false
88,45285200,0000,61681748,0000,50071500,0000,true,false,false
89,43061700,0000,61606464,0000,48662248,0000,true,false,false
90,41872600,0000,61051624,0000,47171064,0000,true,false,false
124,31089000,0000,29522166,0000,32469244,0000,true,false,false
220,10029000,0000,4327329,0000,9887647,0000,true,false,false
