705,3730980,0000,2442655,2500,3490440,0000,true,false,false
837,11496100,0000,6719220,0000,10915968,0000,true,false,false
1095,10479000,0000,31736376,0000,11659507,0000,true,false,false
201,4467850,0000,6797782,0000,4894962,0000,true,false,false
138,11025800,0000,9049868,0000,11244554,0000,true,false,false
909,3504590,0000,2228401,0000,3032716,2500,true,false,false
1101,7818750,0000,15361038,0000,9101888,0000,true,false,false
719,4685160,0000,3375195,0000,4955976,0000,true,false,false
272,3148770,0000,1633695,7500,2824541,5000,true,false,false
786,11241200,0000,4132256,7500,11174415,0000,true,false,false
85,4418920,0000,3212443,5000,4419360,0000,true,true,false
1111,4817390,0000,8759457,0000,5418445,0000,true,false,false
221,12034500,0000,5421148,5000,11633251,0000,true,false,false
158,11834200,0000,8157855,5000,11776399,0000,true,false,false
350,3078850,0000,240279,0938,2601926,7500,true,false,false
863,6287170,0000,5475867,0000,6509368,5000,true,false,false
736,2712060,0000,2811588,2500,2681348,7500,true,false,false
1121,3019810,0000,5280768,0000,3350781,0000,true,false,false
932,3313930,0000,925524,6875,3073070,7500,true,false,false
1125,2794800,0000,4357166,5000,3043958,7500,true,false,false
808,17049400,0000,12724392,0000,18330404,0000,true,false,false
682,4279990,0000,2074025,3750,3820402,2500,true,false,false
43,3701850,0000,229084,7344,3349040,5000,true,true,true
107,19711500,0000,6248459,5000,19674596,0000,true,false,false
689,3154780,0000,3128553,5000,3654488,5000,true,false,false
116,13432400,0000,17738430,0000,14866688,0000,true,false,false
1078,56256500,0000,3431557,5000,50001888,0000,true,false,false
1147,4766570,0000,1532379,8750,4354795,0000,true,false,false
188,7498460,0000,4537128,5000,7780712,0000,true,false,false
895,2867940,0000,1601073,1250,2352184,5000,true,false,false
