96,2606080,0000,4691711,5000,2911862,7500,true,false,false
97,3389360,0000,4582492,5000,2767981,0000,true,false,false
129,2390150,0000,1892642,0000,2189428,5000,true,false,false
103,6004780,0000,3640206,2500,5318288,5000,true,false,false
78,5414170,0000,5997063,5000,5811331,0000,true,false,false
51,9928520,0000,3053949,5000,9672123,0000,true,false,false
88,4505300,0000,5455162,5000,4778159,0000,true,false,false
89,4087060,0000,5361347,5000,4727363,5000,true,false,false
90,3699870,0000,5260902,0000,4599426,0000,true,false,false
91,3319110,0000,5159393,5000,4394415,5000,true,false,false
92,3003140,0000,5061089,5000,4129938,7500,true,false,false
93,2635630,0000,4967744,5000,3826959,5000,true,false,false
94,2335930,0000,4878089,5000,3501998,5000,true,false,false
63,6664740,0000,8741659,0000,6608138,0000,true,false,false
95,2302240,0000,4788067,0000,3180441,0000,true,false,false
